,load,tput
0,0.1,0.0
1,0.2,0.0
2,0.30000000000000004,0.0
3,0.4,0.0
4,0.5,0.0
5,0.6,0.0
6,0.7000000000000001,0.0
7,0.8,0.0
8,0.9,0.0
9,1.0,0.0
10,1.1,0.0
11,1.2000000000000002,0.0
12,1.3000000000000003,0.0
13,1.4000000000000001,0.0
14,1.5000000000000002,0.0
15,1.6,0.0
16,1.7000000000000002,0.0
17,1.8000000000000003,0.0
18,1.9000000000000001,0.0
19,2.0,0.0
20,2.1,0.0
21,2.2,0.0
22,2.3000000000000003,0.0
23,2.4000000000000004,0.0
24,2.5000000000000004,0.0
25,2.6,0.0
26,2.7,0.0
27,2.8000000000000003,0.0
28,2.9000000000000004,0.0
29,3.0000000000000004,0.0
30,3.1,0.0
31,3.2,0.0
32,3.3000000000000003,0.0
33,3.4000000000000004,0.0
34,3.5000000000000004,0.0
35,3.6,0.0
36,3.7,0.0
37,3.8000000000000003,0.0
38,3.9000000000000004,0.0
39,4.0,0.0
40,4.1,0.0
41,4.2,0.0
42,4.3,0.0
43,4.3999999999999995,0.0
44,4.5,0.0
45,4.6,0.0
46,4.7,0.0
47,4.8,0.0
48,4.9,0.0
